Noticias,links
"

",https://www.semana.com//economia/articulo/por-coronavirus-reactivacion-economica-de-colombia-se-daria-hasta-2022/698845
¿Cuándo volveremos a crecer? Cinco etapas para lograrlo,https://www.semana.com//economia/articulo/por-coronavirus-reactivacion-economica-de-colombia-se-daria-hasta-2022/698845
"

",https://www.semana.com//semana-tv/semana-el-debate/articulo/que-pasara-en-la-fiscalia-con-el-expediente-de-uribe/698844
¿Qué pasará en la Fiscalía con el expediente de Uribe?,https://www.semana.com//semana-tv/semana-el-debate/articulo/que-pasara-en-la-fiscalia-con-el-expediente-de-uribe/698844
"

",https://www.semana.com//nacion/articulo/karina-garcia-un-ano-de-una-de-las-masacres-mas-espeluznantes-de-colombia/699005
Karina García: un año de una de las masacres más espeluznantes de Colombia ,https://www.semana.com//nacion/articulo/karina-garcia-un-ano-de-una-de-las-masacres-mas-espeluznantes-de-colombia/699005
"

",https://www.semana.com//nacion/articulo/por-que-no-usa-el-credito-para-salvar-transmilenio-gobierno-a-claudia-lopez/699017
¿Por qué no usa el crédito para salvar TransMilenio?: Gobierno a Claudia López,https://www.semana.com//nacion/articulo/por-que-no-usa-el-credito-para-salvar-transmilenio-gobierno-a-claudia-lopez/699017
"

",https://www.semana.com//nacion/articulo/reapertura-de-restaurantes-asi-funcionara-el-piloto-bogota-a-cielo-abierto/698928
Las reglas de juego con las que iniciará el piloto 'Bogotá A Cielo Abierto',https://www.semana.com//nacion/articulo/reapertura-de-restaurantes-asi-funcionara-el-piloto-bogota-a-cielo-abierto/698928
"

",https://www.semana.com//semana-tv/semana-noticias/articulo/gobierno-decreto-reforma-laboral/698900
¿Gobierno decretó reforma laboral?,https://www.semana.com//semana-tv/semana-noticias/articulo/gobierno-decreto-reforma-laboral/698900
"

",https://www.semana.com//nacion/articulo/proceso-uribe-en-la-fiscalia-que-puede-pasar/698780
Caso Uribe en la Fiscalía: seis preguntas sobre lo que viene,https://www.semana.com//nacion/articulo/proceso-uribe-en-la-fiscalia-que-puede-pasar/698780
,https://www.semana.com//podcast
AUDIO,https://www.semana.com//podcast
El Diario,https://www.semana.com//podcast/el-diario/articulo/habla-el-productor-que-metio-al-ajiaco-en-street-food-de-netflix/698664
Habla el productor que metió al ajiaco en Street Food de Netflix,https://www.semana.com//podcast/el-diario/articulo/habla-el-productor-que-metio-al-ajiaco-en-street-food-de-netflix/698664
,https://www.semana.com/https://apple.co/2HzL22O
,https://www.semana.com/https://bit.ly/2THsnn6
,https://www.semana.com/https://spoti.fi/2GqZ5Wh
 Escuchar más audios,https://www.semana.com//podcast
"

",https://www.semana.com//nacion/articulo/aisalmiento-selectivo-desde-este-1-de-septiembre-noticias-de-colombia-hoy/698842
"Arrancó el aislamiento selectivo en el país, ¿Cómo funciona?",https://www.semana.com//nacion/articulo/aisalmiento-selectivo-desde-este-1-de-septiembre-noticias-de-colombia-hoy/698842
"

",https://www.semana.com//economia/galeria/con-aislamiento-selectivo-asi-lucen-las-terminales-de-transporte-en-colombia-hoy/699038
En imágenes: así lucen las terminales de transporte del país en el primer día de apertura ,https://www.semana.com//economia/galeria/con-aislamiento-selectivo-asi-lucen-las-terminales-de-transporte-en-colombia-hoy/699038
"

",https://www.semana.com//nacion/articulo/credito-a-avianca-debate-al-ministro-de-hacienda-alberto-carrasquilla/698709
Las 16 preguntas que le harán a Carrasquilla en el Congreso por caso Avianca,https://www.semana.com//nacion/articulo/credito-a-avianca-debate-al-ministro-de-hacienda-alberto-carrasquilla/698709
"

",https://www.semana.com//nacion/articulo/desplazamiento-masivo-en-taraza-noticias-de-colombia-hoy/698892
Desplazamiento en Tarazá: al menos 72 personas han salido de La Esperanza,https://www.semana.com//nacion/articulo/desplazamiento-masivo-en-taraza-noticias-de-colombia-hoy/698892
"

",https://www.semana.com//semana-tv/semana-en-vivo/articulo/vivanco-extraditaron-a-mancuso-sin-compromiso-de-que-volviera-a-colombia/698774
"""Extraditaron a Mancuso sin compromiso de que volviera a Colombia"": Vivanco",https://www.semana.com//semana-tv/semana-en-vivo/articulo/vivanco-extraditaron-a-mancuso-sin-compromiso-de-que-volviera-a-colombia/698774
"

",https://www.semana.com//nacion/articulo/reinicio-de-vuelos-nacionales-aeropuerto-el-dorado-espera-a-unos-8000-viajeros/698806
Con reapertura de El Dorado se esperan unos 8.000 viajeros este martes,https://www.semana.com//nacion/articulo/reinicio-de-vuelos-nacionales-aeropuerto-el-dorado-espera-a-unos-8000-viajeros/698806
"

",https://www.semana.com//economia/articulo/tunel-de-la-linea-se-estrena-esto-es-lo-que-pasara-con-el-precio-del-peaje/698858
Túnel de la Línea se estrena y esto es lo que pasará con el precio del peaje,https://www.semana.com//economia/articulo/tunel-de-la-linea-se-estrena-esto-es-lo-que-pasara-con-el-precio-del-peaje/698858
"

",https://www.semana.com//mundo/articulo/razones-por-las-que-el-gobierno-de-maduro-indulto-diputados-de-la-oposicion/698948
Por qué el gobierno de Maduro indultó ahora a decenas de diputados opositores,https://www.semana.com//mundo/articulo/razones-por-las-que-el-gobierno-de-maduro-indulto-diputados-de-la-oposicion/698948
"

",https://www.semana.com//nacion/articulo/disidencias-farc-en-cauca-con-estas-fotos-se-presenta-el-frente-carlos-patino/698743
Como soldados gringos: estas son las fotos de disidencias de las Farc en Cauca,https://www.semana.com//nacion/articulo/disidencias-farc-en-cauca-con-estas-fotos-se-presenta-el-frente-carlos-patino/698743
"

",https://www.semana.com//nacion/galeria/reapertura-de-el-dorado-tras-cinco-meses-de-aislamiento-obligatorio--colombia-hoy/698846
En fotos: así fue la reapertura de El Dorado tras más de 150 días de confinamiento,https://www.semana.com//nacion/galeria/reapertura-de-el-dorado-tras-cinco-meses-de-aislamiento-obligatorio--colombia-hoy/698846
"

",https://www.semana.com//nacion/articulo/advierten-que-solo-el-12-por-ciento-de-las-victimas-han-sido-indemnizadas/698875
Advierten que solo el 12 por ciento de las víctimas han sido indemnizadas,https://www.semana.com//nacion/articulo/advierten-que-solo-el-12-por-ciento-de-las-victimas-han-sido-indemnizadas/698875
"

",https://www.semana.com//mundo/articulo/justicia-francesa-iniciara-proceso-por-atentados-terroristas-a-charlie-hebdo/698971
Charlie Hebdo publica sobre Mahoma antes del inicio del proceso por atentados,https://www.semana.com//mundo/articulo/justicia-francesa-iniciara-proceso-por-atentados-terroristas-a-charlie-hebdo/698971
